exon	pos_start	pos_end	cds_start	cds_end
1	33211282	33211312	1	31
2	33020139	33020200	32	93
3	32849728	32849820	94	186
4	32844783	32844860	187	264
5	32823295	32823387	265	357
6	32816468	32816640	358	530
7	32809493	32809611	531	649
8	32699112	32699293	650	831
9	32697870	32697998	832	960
10	32644964	32645152	961	1149
11	32644132	32644313	1150	1331
12	32614303	32614453	1332	1482
13	32595757	32595876	1483	1602
14	32573745	32573846	1603	1704
15	32573530	32573637	1705	1812
16	32565702	32565881	1813	1992
17	32545159	32545334	1993	2168
18	32518008	32518131	2169	2292
19	32501755	32501842	2293	2380
20	32491277	32491518	2381	2622
21	32484919	32485099	2623	2803
22	32472164	32472309	2804	2949
23	32468498	32468710	2950	3162
24	32464586	32464699	3163	3276
25	32463439	32463594	3277	3432
26	32454662	32454832	3433	3603
27	32448456	32448638	3604	3786
28	32441180	32441314	3787	3921
29	32438241	32438390	3922	4071
30	32411752	32411913	4072	4233
31	32390071	32390181	4234	4344
32	32389501	32389674	4345	4518
33	32386310	32386465	4519	4674
34	32380510	32380680	4675	4845
35	32365020	32365199	4846	5025
36	32364582	32364710	5026	5154
37	32362788	32362958	5155	5325
38	32348406	32348528	5326	5448
39	32345943	32346080	5449	5586
40	32343134	32343286	5587	5739
41	32342100	32342282	5740	5922
42	32310082	32310276	5923	6117
43	32287529	32287701	6118	6290
44	32216916	32217063	6291	6438
45	31968339	31968514	6439	6614
46	31932080	31932227	6615	6762
47	31929596	31929745	6763	6912
48	31875188	31875373	6913	7098
49	31836718	31836819	7099	7200
50	31819975	31820083	7201	7309
51	31773960	31774192	7310	7542
52	31729631	31729748	7543	7660
53	31679375	31679586	7661	7872
54	31657990	31658144	7873	8027
55	31627673	31627862	8028	8217
56	31507281	31507453	8218	8390
57	31496788	31496944	8391	8547
58	31478983	31479103	8548	8668
59	31478106	31478374	8669	8937
60	31444481	31444627	8938	9084
61	31348556	31348634	9085	9163
62	31323598	31323658	9164	9224
63	31260955	31261016	9225	9286
64	31223047	31223121	9287	9361
65	31209498	31209699	9362	9563
66	31206582	31206667	9564	9649
67	31203961	31204118	9650	9807
68	31182738	31182904	9808	9974
69	31180370	31180481	9975	10086
70	31178669	31178805	10087	10223
71	31177932	31177970	10224	10262
72	31173539	31173604	10263	10328
73	31172348	31172413	10329	10394
74	31169443	31169601	10395	10553
75	31147275	31147518	10554	10797
76	31146291	31146414	10798	10921
77	31134102	31134194	10922	11014
78	31126642	31126673	11015	11046
79	31121919	31121930	11047	11058
